Neighborhood,Total,AVG,MEDIAN
Acton,1210663.00,86475.93,88385.50
Adams-Normandie,1003206.00,28663.03,31571.00
Agoura Hills,2389750.00,113797.62,121479.00
Agua Dulce,696989.00,99569.86,101250.00
Alhambra,7644729.00,54605.21,53723.00
Alondra Park,529661.00,75665.86,76429.00
Altadena,4827851.00,86211.63,85489.00
Angeles Crest,1158070.00,82719.29,76875.00
Arcadia,6191925.00,80414.61,78194.00
Arleta,2662506.00,63393.00,63738.00
Arlington Heights,1496523.00,35631.50,37839.50
Artesia,1243639.00,59220.90,59401.00
Athens,559009.00,39929.21,37928.50
Atwater Village,1295090.00,61670.95,60865.00
Avalon,393816.00,56259.43,55404.00
Avocado Heights,1007757.00,71982.64,71043.00
Azusa,3960969.00,56585.27,54698.50
Baldwin Hills/Crenshaw,1753514.00,35786.00,28031.00
Baldwin Park,5975458.00,53352.30,52707.50
Bel-Air,1442790.00,206112.86,203490.00
Bell,1834868.00,37446.29,37418.00
Bell Gardens,2425434.00,38498.95,37500.00
Bellflower,6553434.00,52011.38,50928.50
Beverly Crest,3566519.00,169834.24,163028.00
Beverly Grove,4351401.00,77703.59,77852.00
Beverly Hills,6189190.00,126310.00,103958.00
Beverlywood,1089219.00,155602.71,161184.00
Boyle Heights,5829405.00,33310.89,33101.00
Bradbury,663459.00,94779.86,89545.00
Brentwood,9853419.00,140763.13,129995.00
Broadway-Manchester,1017772.00,29079.20,29031.00
Burbank,10928441.00,67878.52,68484.00
Calabasas,2504927.00,119282.24,127426.00
Canoga Park,4763100.00,52341.76,44018.00
Carson,9468521.00,71191.89,72360.00
Carthay,1128470.00,80605.00,82286.00
Castaic,2458621.00,117077.19,112238.00
Castaic Canyons,7179863.00,93244.97,92277.00
Central-Alameda,2138036.00,30543.37,31071.00
Century City,704772.00,100681.71,102543.00
Cerritos,7114726.00,92399.04,94429.00
Charter Oak,904909.00,64636.36,63867.00
Chatsworth,6723348.00,87316.21,85582.00
Chatsworth Reservoir,590750.00,84392.86,86654.00
Chesterfield Square,694349.00,33064.24,34717.00
Cheviot Hills,1812790.00,129485.00,124797.50
Chinatown,1096539.00,39162.11,26989.00
Citrus,1079800.00,51419.05,50243.00
Claremont,4914483.00,87758.63,71903.00
Commerce,997007.00,47476.52,46800.00
Compton,7321770.00,43581.96,44636.50
Covina,4415175.00,63073.93,64722.50
Cudahy,1642742.00,39112.90,40135.50
Culver City,3983007.00,81285.86,78750.00
Cypress Park,916584.00,43646.86,43500.00
Del Aire,992896.00,70921.14,70855.50
Del Rey,3346058.00,68286.90,65398.00
Diamond Bar,5639934.00,89522.76,88821.00
Downey,9414905.00,61135.75,61267.50
Downtown,2851638.00,32404.98,23281.00
Duarte,1167991.00,55618.62,58724.00
Eagle Rock,3552885.00,63444.38,61530.00
East Compton,289811.00,41401.57,40313.00
East Hollywood,4136449.00,32828.96,32339.00
East La Mirada,992274.00,70876.71,69224.00
East Los Angeles,7747836.00,39529.78,39162.00
East Pasadena,470458.00,67208.29,65089.00
East San Gabriel,2625265.00,75007.57,62577.00
Echo Park,3044183.00,48320.37,45306.00
El Monte,6936673.00,41289.72,40378.50
El Segundo,2431468.00,86838.14,88521.00
El Sereno,3603901.00,46803.91,46000.00
Elizabeth Lake,506726.00,72389.43,65074.00
Elysian Park,366158.00,30513.17,19216.00
Elysian Valley,959610.00,45695.71,45781.00
Encino,6690682.00,86891.97,74212.00
Exposition Park,1483205.00,30269.49,29528.00
Fairfax,2113535.00,75483.39,79186.50
Florence,2855635.00,31380.60,31208.00
Florence-Firestone,3092697.00,33985.68,35027.00
Gardena,5306409.00,50537.23,48750.00
Glassell Park,2914466.00,52044.04,48801.50
Glendale,17119241.00,62707.84,51576.00
Glendora,7317008.00,80406.68,72325.00
Gramercy Park,678111.00,48436.50,48245.00
Granada Hills,8232041.00,84000.42,80730.00
Green Meadows,1882448.00,33615.14,33181.50
Griffith Park,117905.00,117905.00,117905.00
Hacienda Heights,6889039.00,75703.73,72788.00
Hancock Park,2232238.00,106297.05,105539.00
Harbor City,2873739.00,58647.73,51905.00
Harbor Gateway,2381289.00,42523.02,41245.00
Harvard Heights,1295347.00,30841.60,30665.00
Harvard Park,208001.00,29714.43,28924.00
Hawaiian Gardens,577891.00,41277.93,40723.00
Hawthorne,6317915.00,50142.18,43137.00
Hermosa Beach,3751078.00,107173.66,105625.00
Hidden Hills,931967.00,133138.14,140048.00
Highland Park,4926719.00,50272.64,50061.50
Historic South-Central,2399153.00,28561.35,28482.00
Hollywood,5875372.00,38151.77,33185.00
Hollywood Hills,3303733.00,78660.31,75173.50
Hollywood Hills West,3373550.00,120483.93,130229.00
Huntington Park,4942785.00,37163.80,37281.00
Hyde Park,2574373.00,36776.76,33892.50
Industry,3239031.00,66102.67,69083.00
Inglewood,8890616.00,47040.30,43811.00
Irwindale,411418.00,58774.00,59028.00
Jefferson Park,1464096.00,34859.43,33950.00
Koreatown,6869833.00,33841.54,33158.00
La Canada Flintridge,4486020.00,160215.00,155406.50
La Crescenta-Montrose,2440327.00,87154.54,82511.00
La Habra Heights,1624388.00,116027.71,116036.50
La Mirada,5699886.00,81426.94,82229.50
La Puente,3039370.00,54274.46,55083.50
La Verne,3841336.00,78394.61,66250.00
Ladera Heights,2279884.00,81424.43,78417.50
Lake Balboa,3243809.00,66200.18,64539.00
Lake Los Angeles,287732.00,41104.57,43627.00
Lake View Terrace,1287330.00,61301.43,65270.00
Lakewood,9844065.00,78127.50,80090.00
Lancaster,9256822.00,48977.89,44709.00
Larchmont,748850.00,53489.29,53099.50
Lawndale,2047292.00,48745.05,48996.50
Leimert Park,982046.00,46764.10,47775.00
Lennox,1258681.00,35962.31,35116.00
Leona Valley,737826.00,105403.71,106250.00
Lincoln Heights,1271339.00,30269.98,29997.00
Lomita,1292778.00,61560.86,62472.00
Long Beach,42111303.00,56677.39,52714.00
Lopez/Kagel Canyons,538693.00,76956.14,76773.00
Los Feliz,6070973.00,72273.49,65783.50
Lynwood,3428988.00,44532.31,46506.00
Malibu,874375.00,124910.71,130547.00
Manchester Square,614002.00,43857.29,42603.50
Manhattan Beach,7968425.00,142293.30,142846.50
Mar Vista,4955495.00,70792.79,69322.00
Marina del Rey,664962.00,94994.57,95248.00
Mayflower Village,1442777.00,68703.67,65772.00
Maywood,1829104.00,37328.65,36758.00
Mid-City,4648996.00,47438.73,45588.50
Mid-Wilshire,5017019.00,65156.09,64415.00
Mission Hills,2144116.00,61260.46,61028.00
Monrovia,4320262.00,77147.54,71221.00
Montebello,4914452.00,50147.47,48042.50
Montecito Heights,2310218.00,47147.31,46576.00
Monterey Park,6155463.00,54959.49,57197.50
Mount Washington,1838847.00,65673.11,64960.50
North Hills,5402341.00,55125.93,49332.50
North Hollywood,6822184.00,44299.90,42566.00
North Whittier,693691.00,99098.71,94680.00
Northeast Antelope Valley,1448587.00,41388.20,42708.00
Northridge,6232366.00,64251.20,58403.00
Northwest Antelope Valley,464272.00,66324.57,63087.00
Northwest Palmdale,635055.00,90722.14,91522.00
Norwalk,9103239.00,61926.80,61400.00
Pacific Palisades,7470250.00,152454.08,158750.00
Pacoima,6101240.00,45873.98,46250.00
Palmdale,11967596.00,52953.96,51265.00
Palms,4371772.00,56776.26,55798.00
Palos Verdes Estates,3619041.00,172335.29,167802.00
Panorama City,5253589.00,41695.15,37751.00
Paramount,3124943.00,44642.04,44814.50
Pasadena,18422472.00,77405.34,68943.50
Pico Rivera,5136253.00,56442.34,55395.00
Pico-Robertson,2839784.00,67613.90,70604.00
Pico-Union,2745410.00,28014.39,28576.00
Playa del Rey,1413132.00,100938.00,104160.00
Playa Vista,1018005.00,72714.64,72682.00
Pomona,10486399.00,51403.92,51447.50
Porter Ranch,5483542.00,111909.02,110263.00
Quartz Hill,1033261.00,73804.36,74583.50
